hid,type_name,variant,question,answer,y_true,y_pred,judge_raw,correct
cmexam_51826,剂量/数值错,faithful,需后下的药是,针对问题「需后下的药是」，正确答案是：砂仁。,0,0,0,1
cmexam_51826,剂量/数值错,unfaithful,需后下的药是,需后下的药是砂仁，通常在其他群药煎煮约30分钟后放入再煎15分钟即可。,1,0,0,0
cmexam_33383,捏造指南/引用,faithful,参与瞳孔对光反射的没有,针对问题「参与瞳孔对光反射的没有」，正确答案是：瞳孔开大肌。,0,1,1,0
cmexam_33383,捏造指南/引用,unfaithful,参与瞳孔对光反射的没有,根据《神经生理学标准指南》第5.3节，瞳孔对光反射不涉及虹膜开大肌的参与。,1,0,0,0
cmexam_35813,剂量/数值错,faithful,下列实验室检查结果支持阵发性睡眠性血红蛋白尿诊断的是,针对问题「下列实验室检查结果支持阵发性睡眠性血红蛋白尿诊断的是」，正确答案是：酸溶血（Ham）试验阳性。,0,0,0,1
cmexam_35813,剂量/数值错,unfaithful,下列实验室检查结果支持阵发性睡眠性血红蛋白尿诊断的是,针对问题「下列实验室检查结果支持阵发性睡眠性血红蛋白尿诊断的是」，正确答案是：酸溶血（Ham）试验阳性，并且其特异性阈值设定为80%以上。,1,0,0,0
cmexam_48397,捏造指南/引用,faithful,属于内酯型前药，需要在体内代谢为羧酸形式才具有活性的药物是,针对问题「属于内酯型前药，需要在体内代谢为羧酸形式才具有活性的药物是」，正确答案是：洛伐他汀。,0,0,0,1
cmexam_48397,捏造指南/引用,unfaithful,属于内酯型前药，需要在体内代谢为羧酸形式才具有活性的药物是,根据《2023年中国血脂异常防治指南》第5.2条，洛伐他汀作为内酯型前药，必须在肝脏水解为开环羟基酸形式后方可发挥药理活性。,1,0,0,0
cmexam_46583,信息不全,faithful,罗拉匹坦制剂的处方如下：【处方】罗拉匹坦0.5g；精制大豆油50g；卵磷脂45g；泊洛沙姆4.0g；油酸钠0.25g；甘油22.5g；注射用水加至1000ml。该制剂是,针对问题「罗拉匹坦制剂的处方如下：【处方】罗拉匹坦0.5g；精制大豆油50g；卵磷脂45g；泊洛沙姆4.0g；油酸钠0.25g；甘油22.5g；注射用水加至1000ml。该制剂是」，正确答案是：静脉注射乳剂。,0,0,0,1
cmexam_46583,信息不全,unfaithful,罗拉匹坦制剂的处方如下：【处方】罗拉匹坦0.5g；精制大豆油50g；卵磷脂45g；泊洛沙姆4.0g；油酸钠0.25g；甘油22.5g；注射用水加至1000ml。该制剂是,罗拉匹坦制剂是静脉注射乳剂，用于预防化疗相关的恶心呕吐，其处方包含精制大豆油、卵磷脂等成分，形成稳定的乳状液体系。,1,0,0,0
cmexam_30507,信息不全,faithful,反映胎儿肺成熟度的是,针对问题「反映胎儿肺成熟度的是」，正确答案是：卵磷脂/鞘磷脂比值。,0,0,0,1
cmexam_30507,信息不全,unfaithful,反映胎儿肺成熟度的是,卵磷脂和鞘磷脂的含量是判断胎儿肺成熟度的可靠指标。,1,0,0,0
cmexam_7967,机制/通路误归因,faithful,回力卡环具有应力中断作用,针对问题「回力卡环具有应力中断作用」，正确答案是：因为远中（牙合）支托不与基托相连，（牙合）力通过人工牙和基托传导到牙槽嵴，减轻了基牙的负担。,0,0,0,1
