# rationale_ledger.csv —— QuantImmuBench 原则化 CV 融合选择: 每方法学抉择「只变一处」受控账。
# 固定(除被试): pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42。措辞禁 proven optimal/best/SOTA; null=「无可检测的整合净优势」。
# ★#2 恒等断言(单层LOPO≡oracle)已在脚本内 assert; #3 承认bundle折粒度; #4/#7 裸口径仅作被试对照非CV选择。
id,choice,fixed_vars,varied_var,chosen_value,alt_value,chosen_metric,alt_metric,delta,caliber,n_used,expected_direction,observed_verdict,why_oneline
1,nested-CV(inner8选),pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,选择集,inner8,all9,0.352467,0.525242,0.172775,raw,9,oracle−cv>0 (膨胀≈0.17),"膨胀Δ=0.172775: 全数据选成员=in-sample上界, nested-CV才诚实","成员选择使表观优势虚高的量, 用 held-out 折隔离"
2,nested-CV,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,评估协议,nested(inner8选+外层评),单层LOPO(全数据选+LOPO评),0.352467,0.525242,0.172775,raw,9,单层≡oracle (非独立数),"恒等断言过 |单层−oracle|<1e-9 (=0.0); 全数据选+LOPO评≡in-sample, 非真CV, 膨胀同#1","geomean病人内独立→单层LOPO=oracle, 不当独立数报"
3,外层=留患者(leave-patient),pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,折单元,leave-patient,leave-peptide(5折stratified-by-patient),0.352467,0.350518,-0.001949,raw,9,留肽−留患者>0 (留肽泄漏患者内结构),"Δ=-0.001949 (留肽0.350518 vs 留患者0.352467); ★承认bundle了折粒度, 不claim纯单变量",留患者才检验跨患者泛化; 留肽同患者训练/测试→乐观偏
4,guarded per-patient ρ̄,pool=全30(演示伪迹)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,度量守卫,guarded:MHCnuggets,naive裸(对照):HLAthena,0.446608,0.627245,0.180636,raw,9,"裸选小n伪迹虚高, 守卫剔退化后选真信号",裸选HLAthena=0.627245 vs 守卫选MHCnuggets=0.446608; 裸被小样本虚假完美相关抬冠军,"n_eff<4剔患者+丢|ρ|>0.999退化, 挡小n假冠军; 裸版仅对照"
5,候选池=cover(≥8),pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,候选池,cover(24工具),全30(30工具),0.273325,0.590779,0.317454,raw,9,全30裸天花板>cover (稀疏工具打乱仍碰虚假相关),"裸shuffle-null best-single: cover=0.273325 vs 全30=0.590779; Δ=0.317454, 全30含min<8工具打乱后仍虚高",cover过滤挡小n假信号; 裸口径下全30稀疏工具天花板虚高
5b,候选池=cover(≥8),pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,候选池,cover(24工具),全30(30工具),0.390574,0.390574,0.0,raw,9,守卫下 cover≈全30 (守卫已中和稀疏膨胀→与池过滤防线重叠),守卫shuffle-null: cover=0.390574 vs 全30=0.390574; Δ=0.0≈0 = 防线重叠(非矛盾),守卫在时池过滤冗余; 守卫关时(见#5主行)池过滤仍是真防线
6,跨病人聚合=Fisher-z 等权,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,聚合,equal(Fisher-z),invvar(逆方差),0.525242,0.544486,-0.019244,raw,9,"点估相近, 权口径差异",同一rhos_by: equal=0.525242(CI宽0.279197) vs invvar=0.544486 vs 均值ρ=0.492325,等权不让大n病人主导; 三聚合共用同一份守卫ρ向量
6b,跨病人聚合=Fisher-z 等权,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,聚合,equal(Fisher-z),均值(np.nanmean ρ),0.525242,0.492325,0.032917,raw,9,Fisher-z vs 线性均值差异小,equal=0.525242 vs 均值ρ=0.492325,"Fisher-z 方差稳定后再平均, 极端ρ不过度拉动"
7,per-patient Fisher-z,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,相关口径,per-patient,pooled(全130),0.525242,0.509842,0.0154,raw,9,背离 (pooled 受跨患者标度混杂),per-patient=0.525242 vs pooled=0.509842; Δ=0.0154,"患者间Elispot标度不可比, pooled把标度差当信号"
8,前向贪心,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,搜索(k=2),greedy,exhaustive,0.467247,0.467247,0.0,raw,9,exhaustive−greedy 小 (贪心近最优),k=2: greedyMHCnuggets;netMHCpan_BA=0.467247 vs exhaustiveMHCnuggets;netMHCpan_BA=0.467247,"★解耦: 只证贪心是合格优化器, 泛化由 oracle−CV(#1) 答, 别混"
8b,前向贪心,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,搜索(k=3),greedy,exhaustive,0.525242,0.525242,0.0,raw,9,exhaustive−greedy 小 (贪心近最优),k=3: greedyMHCnuggets;netMHCpan_BA;IEDB_Calis=0.525242 vs exhaustiveMHCnuggets;netMHCpan_BA;IEDB_Calis=0.525242,"★解耦: 只证贪心是合格优化器, 泛化由 oracle−CV(#1) 答, 别混"
9,"eps=0.01,maxdim=6",pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,eps×maxdim,"(0.01,6)","峰(0.02, 6)",0.352467,0.401308,0.048841,raw,9,峰稳→不靠调参,"网格CV: 默认(0.01,6)=0.352467, 峰(0.02, 6)=0.401308, Δ=0.048841",峰位与默认接近=结论不靠 eps/maxdim 精调
10,钉死 op=geomean,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,算子自由度,fixed_geomean,cv_select_op(all8),0.352467,0.358331,-0.005864,raw,9,fixed−cvselect≥0 (DOF伤CV),钉geomean CV=0.352467 vs 算子CV选=0.358331; Δ=-0.005864,"多一个算子自由度→CV再罚一次, 钉geomean更稳"
11,DTU工具入池,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,DTU入池,含DTU,剔DTU,0.352467,0.28961,0.062857,raw,9,报两版+符号翻转 (consent_critical),含DTU CV=0.352467(整合-单符号-1) vs 剔DTU=0.28961(符号-1); 翻转=False → consent_critical=False,DTU 待授权; 若结论符号依赖DTU则决策归袁+朱
12,caliber=raw,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,口径,raw,lenctrl(控肽长),0.352467,0.395098,-0.042631,raw,9,两口径CV最优/结论是否一致,raw CV=0.352467(选MHCnuggets;netMHCpan_BA;IEDB_Calis) vs lenctrl=0.395098(选netMHCpan_BA;MHCnuggets;PRIME); 成员一致=False,"控肽长后结论若稳=非肽长搭便车 (lenctrl 有效折少, 敏感性)"
13,算子=geomean,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,算子(成员集固定),geomean,mean_rank,0.525242,0.500352,0.02489,raw,9,geomean≥或≈其它算子,同成员集MHCnuggets;netMHCpan_BA;IEDB_Calis: geomean=0.525242 vs mean_rank=0.500352; Δ=0.02489,"geomean=共识(AND)鲁棒: 任一维差则拉低, 抗单工具虚高"
13b,算子=geomean,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,算子(成员集固定),geomean,median,0.525242,0.484788,0.040454,raw,9,geomean≥或≈其它算子,同成员集MHCnuggets;netMHCpan_BA;IEDB_Calis: geomean=0.525242 vs median=0.484788; Δ=0.040454,"geomean=共识(AND)鲁棒: 任一维差则拉低, 抗单工具虚高"
13c,算子=geomean,pool=cover(≥8)/op=geomean/proc=forward_greedy/outer=leave-patient/metric=guarded/caliber=raw/seed=42,算子(成员集固定),geomean,max,0.525242,0.341887,0.183355,raw,9,geomean≥或≈其它算子,同成员集MHCnuggets;netMHCpan_BA;IEDB_Calis: geomean=0.525242 vs max=0.341887; Δ=0.183355,"geomean=共识(AND)鲁棒: 任一维差则拉低, 抗单工具虚高"
